"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"DS3",-9.35753847276689,44.943924509108,9.50769157943899,10.3940459913997,10.7679917466795,-0.276801474609929,36.2590623744991,-18.3765377818115,3.98751201561366,13.3562179251017,3.43808810730525,-12.8901302928394,29.193524501434,-28.3164543770684,4.59267652601702,1.37132656194351,-4.28353860809343,-11.6964950321092,-17.9025338344684,-11.7616343697488,15.2611601031661,-3.42274160099057,-1.48587522368356,-6.92196229877285,-2.0771006892999,-1.42669009901047,-1.71054834303669,0.755769896780037,5.09608343049035,1.90192046352906,-0.750408890924605,2.95039058288704e-14
"DS4",-4.1364851459394,-19.8416573628761,39.6486685169032,-2.95526520180843,-21.675792304545,13.1523951163804,-7.28777385355128,9.80303596630146,-0.862019208613324,8.66697226985717,-10.2857285199117,4.76864073269449,-9.8945282067314,-6.31504549741462,5.67120282257989,9.50147416535528,-21.3065678897645,29.9351829710477,-11.1138918113886,15.7048671540967,25.7258516819655,-6.41654373263459,8.69951428288226,-3.43971894008616,-4.80603426695127,-0.888540513542982,-2.18043600854975,-1.02525961693351,-1.73869736630194,-0.11102589566908,1.84574107222418,2.67016633413372e-14
"DS5",23.1639178821638,82.7007225586813,-53.9820086174105,32.0007783855856,-9.20230949529772,10.2796205349104,11.9809680101244,30.1363714252494,-16.2841025219051,3.41971966217754,-17.434758030574,13.3385460941359,8.35579948779947,22.013269227585,-18.8140047150086,-12.5089092975637,-2.59322088433449,1.73362207906261,-16.5645472255457,-0.450807538608785,-2.61875450994615,-1.63553895167072,-7.07789029738545,-5.86280282322543,-3.46294323315916,-2.47049794897897,-2.44205451554183,-1.75076719357247,2.11340713461718,0.912605071554277,1.11000447958546,-3.94225396684739e-14
"DS6",7.2279005702597,2.44268765365557,39.7811411923352,1.18376256432106,19.3846819748498,-4.13037155262193,7.23118462049633,11.5962999529048,26.6493663172939,-30.8494618591287,11.1765553301417,20.5234004574494,25.9302787671556,20.1884827614294,-0.971117888490209,14.9670875212616,-20.2148785265272,-4.69379334017236,6.0749204694299,1.71515976507111,2.98862078059594,10.7577280081028,0.893561940545509,1.08607361654792,6.39448712084218,-0.239918095251769,0.634197173434269,1.68529276863461,2.24981511715232,-0.0445547376147017,-1.09477058704467,2.27410321476662e-14
"DS7",14.1162352530547,2.63524020182398,44.5360026803444,43.3635624216536,1.59854226056843,-34.8716785029946,17.1357812251963,31.8835645126115,19.2459205893484,24.2451099859418,14.5893349164766,-9.36774807469889,-26.432861362836,-3.4252264668435,1.45240181309666,3.11570680740624,-0.199784763726461,-6.78750104053329,-0.119253889375715,0.298470926534272,-9.19395288116296,4.60628888003883,4.36834464976973,1.30916859697305,1.22251123137763,0.817118143763031,0.39807949062595,0.556883660167109,-1.28963705215771,-1.35036626382845,0.735900399083229,6.87021511729113e-14
"DS8",49.9318440078768,74.0646558167121,-46.0357822129567,-5.2338542949262,4.33893404560714,2.60581524254129,-16.8572298772363,35.2386275226419,-19.8917705413254,-24.3345921756005,2.79031085917117,-11.2518681585863,-2.083830999051,-29.2969660004421,18.7531011179291,6.39421609702416,-8.38087343042299,-3.61027254673437,11.567189843815,-2.78396787015281,0.825039755720851,-0.513514346299151,0.883914642050026,4.82541616290943,6.99652227999226,3.33993767859915,0.545899941281983,-0.352247998773496,-1.29435573747756,-4.5847046213057,-1.88607759371126,-1.61690051538738e-14
"NL1",-42.88287007824,33.2664263386965,-19.1848626604378,2.61330436025084,9.63147939974537,-3.06657593468907,2.76906650627774,-9.99773406039682,9.75197555696282,0.797106601273046,6.62150812234617,5.5979913392294,-11.4144143584101,4.84305830242604,5.49362064669899,-3.11954433192033,6.68100526518523,4.76761943804287,16.9154880448628,-0.940548756980833,11.6528111869983,-8.84897675697825,-12.833899392037,5.81217231450854,-0.540162980291045,-20.8611977071406,-27.442237247373,10.1840441514016,6.15482966639468,-5.7648435303371,3.00168861875258,1.20511063693256e-13
"NL2",-40.2462909567715,45.0826902720238,-17.1639310577036,-1.23284602263915,4.05143278539679,-1.18982475374864,-0.321690056893237,-19.5765527152531,0.983825866673784,0.0864683620429699,21.9859008520795,10.6869993507699,-15.2972918438555,-2.53610179030354,-13.9384688922488,11.4779666674151,-4.31017772997173,-0.439589375439332,4.52813682081945,6.31067315166803,3.11106647276532,-6.84925781702375,-22.4046626150129,-9.33223650431175,-5.78945537303454,25.4012204341868,1.18882913354642,-11.9316264484529,-4.42388271730778,-6.28269259308566,1.44763212871513,1.80343912546677e-13
"NL3",-67.4241518485265,-9.53039596415573,-33.9475028503569,-16.2062704703911,-4.45200118485181,-5.35652354030909,-2.96683226490636,1.84715107069997,4.35741200347628,3.62109717986259,-3.35494742824872,-15.9820610702899,6.72455281935977,7.07442420627452,2.87931420879904,-5.48817554472443,-2.4424196512642,-8.81856907127294,3.11849216450594,11.2555382868315,1.00309826121616,18.1727011455153,12.0610546206349,2.0443960740759,-20.8190109391648,19.8237557741731,-12.1453275748871,15.1479509497517,1.62821692446037,3.73268644796038,10.1796057840866,-9.03101107351673e-15
"NL4",-53.7104901246079,15.1507537889714,-15.8275286660159,6.59038347575024,-9.47301949011684,25.0791475488865,3.6911546270062,-12.1335076139559,4.15599253636092,4.74092335717748,6.27031770248262,4.43180691145341,-3.76732743092715,3.50515159288699,1.33447119802788,11.1351646019849,1.3768442123027,2.26002015119536,-15.1435376725284,-3.86925638344923,-7.90726767118374,-3.36024156689871,0.829256230035172,22.2839586932771,2.93140869968838,2.23375533913455,11.7532854128077,24.4978555772141,-9.43730623357688,-13.4525197528645,-6.65726844160193,-2.58141218904134e-14
